국립대학 육성,2020.01.05.,금오공대 '지역민과 함께하는 열린 문화특강' 열어,"열린 문화특강 사진금오공대 구미뉴시스 박홍식 기자  금오공과대학교는 경북 구미 근로자문화센터에서 지역민과 함께하는 열린 문화특강을 개최했다. 5일 금오공대에 따르면 이번 문화특강은 지역 문화공헌 활동의 일환으로 시행됐으며, 시민 100여 명이 참석했다.   임용한 한국역사고전연구소장이 초청돼 구미, 천년의 전설을 주제로 강연했다. 주요 내용은 삼국조선시대 구미의 지정학적 위치와 의의 구미시 소재 산성들의 역할과 중요성 삼국시대 전투와 후삼국 운명을 결정한 일리천 전투 임진왜란 전투와 의병활동 등이다. 그는 구미는 삼국시대부터 전략적 군사 요충지로서 고려 건국 직전 인근 지역 전투에서도 세력 확산을 위한 중요한 지리적 위치에 있었다며 유구한 역사와 중요성에 비해 알려지지 않은 구미의 숨겨진 역사를 통해 시민들이 애향심과 자긍심을 고취하는 계기가 되길 바란다고 말했다. 임 소장은 경기도 문화재 전문위원과 충북대 연구교수 등으로 활동하며 한국고대전쟁사 1, 2, 세상의 모든 전략은 전쟁에서 탄생했다 등을 저술했다.  차이나는 클라스, 세상을 바꾸는 시간, 15분 등에 출연한 바 있다.  금오공대는 국립대학 육성사업을 통해 산업과 문화가 공존하는 도시 만들기라는 목표를 추진하고 있다.  이를 위해 지역사회 발전을 위한 다양한 사회봉사와 문화공헌 활동을 시행하고 있다.  최근에는 안동대, 구미대와 외국인 유학생 봉사활동을 비롯해 양포동 새마을 부녀회와 함께 사랑의 김장 나눔을 진행했다. 지역 7개 대학으로 구성된 경북 서부권 대학 발전협의회를 통해 학생 동아리 문화공연과 환경정화 활동을 펼쳤다. ☞공감언론 뉴시스  6431.   모바일 오픈 미술작품 가격을 공개합니다  뉴시스 채널 구독하고 에어팟 프로 받아가세요  뉴시스 빅데이터  주가시세표 바로가기  저작권자ⓒ 공감언론 뉴시스통신사. 무단전재재배포 금지."
국립대학 육성,2020.02.05.,"금오공대, 지역민과 함께하는 열린 문화특강 전개","머니투데이 대학경제 권태혁 기자   금오공과대학교가 지난 4일 한국산업단지공단 대경지역본부 별관 대회의실에서 지역민과 함께하는 제2차 열린 문화특강을 실시했다.   지역 문화공헌 활동의 일환으로 마련된 이번 특강은 금오공대의 2019 국립대학 육성사업 지원으로 열렸으며, 지역시민 60여 명이 참석했다.  금오공대는 강연 시행에 앞서 개별 마스크를 제공하고 손소독제를 비치해 신종 코로나바이러스 감염 예방에 철저하게 대비했다.   강연자로 초청된 김영익 서강대 경제대학원 겸임교수는 2020년 경제와 금융시장 전망을 주제로 글로벌 경제 글로벌 환율 전망 한국 경제 전망 기업과 개인의 대응 등에 대한 강의를 진행했다.   김 교수는 에서 보는 올해 세계 경제 성장률은 비교적 낙관적이지만 부채에 의한 성장 한계와 미국 경기 확장의 불확실성, 중국과 인도 기업의 부실 현황을 감안하면 위기에 대비해야 한다며 금융으로 국부를 늘릴 기회를 탐색하는 동시에 가능한 부채를 줄여 저성장, 저금리 시대에 대응해야 할 것이라고 말했다. 그는 대학 및 주요 기업 등에서 금융 및 경제관련 강의를 활발하게 펼치고 있으며, 위험한 미래, 경제지표 정독법, 3년 후 미래 등을 저술했다. 각 언론사에 경제 관련 칼럼 등도 지속적으로 기고 및 연재하고 있다.    한편 지역사회 시민을 대상으로 다양한 문화공헌 활동을 펼치고 있는 금오공대는 지난달 구미 역사를 주제로 1차 열린 문화특강을 개최했다. 또 국립대학 육성사업을 통해 산업과 문화가 공존하는 도시 만들기라는 목표를 추진하고 있으며, 앞으로도 지역을 위한 봉사활동 및 문화공연을 추진할 예정이다.  권태혁 기자  세계 1,2위 부자는 얼마나 잠을 잘까 장모 명의로 바뀐 집,이혼하면…   네이버 구독하기   저작권자 ⓒ 돈이 보이는 리얼타임 뉴스 머니투데이,"
국립대학 육성,2020.04.21.,강의 만들어 30개大 공유···국립대 뭉치게 한 '1504억 마중물',"부활하는 국립대⑤  방송대, 4개 국립대와 강의 개발 전북대, 연금공단과 전문가 과정 공공기관·사립대·초중고와 협력  대입지도, 지역봉사 네트워크 활발     방송통신대·한국체대가 공동으로 제작하는 셀프 트레이닝 교과목의 실습장면을 촬영하고 있다. 방송통신대 지난해 4개 국립대학과 함께 5개 온라인 강의를 공동제작했다. 사진 방송통신대               한국방송통신대는 지난해 금오공대·서울교대·서울과학기술대·한국체대 등 4개 국립대의 교수진과 함께 ‘대학수학의 이해’ ‘셀프 트레이닝’ 등 5개 온라인 강의를 제작했다. 공동 개발한 강의는 올 2학기부터 각 대학의 교양과목으로 활용된다.         김옥태 방송대 미디어영상학과 교수는 “48년 원격교육 노하우를 다른 국립대에 공유해 학생에게 질 높은 강의를 제공하려는 시도”라며 “국립대 간의 네트워크를 만들면 국가자원을 효율적으로 활용할 수 있다. 앞으로도 방송대의 온라인강의 플랫폼을 적극적으로 공유하려 한다”고 말했다.         아울러 방송대는 자체 제작한 63개 교양강의를 강릉원주대·한경대 등 6개 국립대 학생들에게 개방하고 있다. 올해 신종 코로나바이러스 감염증코로나19 사태를 맞아 720여개 강의 콘텐트를 전국 국립대 30여곳과 대구·경북 지역 대학에 공개했다.         고등교육의 질을 높이고 지역사회에 기여하기 위해 국립대들이 협업의 대상과 범위를 넓히고 있다. 국립대뿐 아니라 사립대와 함께 네트워크를 만들거나 공공기관, 지역 기업, 초중고와 다양한 협력을 시도하고 있다. 올해 3년 차를 맞은 교육부의 국립대학 육성사업의 성과 중 하나다.        전북의 군산대는 전남의 목포대·순천대, 경남의 창원대와 함께 지난해 9월 ‘공동 진로진학 프로그램’을 진행했다. 지역 국립대끼리 힘을 합쳐 입시 정보 부족으로 어려움을 겪는 수험생을 돕고 지역 인재를 키우자는 취지였다. 최현재 군산대 입학관리본부장은 “단순한 홍보에 그치는 대신 국립대들의 장점을 알리면서 입시정보를 제공하는 프로그램으로 확대하려 한다”고 말했다.          목포해양대는 광주교대ㆍ순천대ㆍ전남대 등 7개 대학과 함께 광주ㆍ전남에서 학업 부진으로 고민하는 대학생의 학습지원을 위한 프로그램을 공동 개발했다. 심층 인터뷰를 통해 학업 부진의 원인을 찾고 지도교수와 교수학습지원센터가 체계적으로 지원한다.             금오공대·경북보건대 등은 지난해 11월 김천지역 저소득 가구를 대상으로 연탄봉사활동을 공동으로 진행했다. 이 지역 7개 대학은 지난해 ‘경북 서부권 대학발전협의회’를 설립해 공동으로 사회공헌활동을 전개하고 있다. 사진 금오공대               사회 공헌을 위한 대학 네트워크 구성도 활발하다. 지난해 금오공대는 경북보건대·구미대 등 6개 대학과 지난해 ‘경북 서부권 대학발전협의회’를 설립했다. 이들 대학은 지난해 11월 구미역 광장에서 주민들을 위한 문화공연을 열었고 연탄배달 봉사, 장애인 지원 활동도 했다. 경남과학기술대는 경남대ㆍ인제대 등 사립대와 함께 ‘사회책임 인력양성 프로그램’을 도입했고 지난해 세 차례 ‘경남 사회적 가치 포럼’도 열었다.        공공기관과의 협력도 활발해졌다. 전북대는 올해 연금관리학 학위과정을 개설했다. 국민연금공단의 전주 이전을 계기 삼았다. 전북대는 경영ㆍ회계ㆍ행정ㆍ사회복지 등 4개 학과를 중심으로 새로운 전공을 개설했고, 공단은 실무자를 강사진으로 보내는 맞춤형 교육에 협력한다.          학교와의 협력도 활발하다. 청주교대 문해력지원센터는 지역 초등학교들과 함께 글을 읽고 이해하는 능력이 부족해 학교 적응에 어려움을 겪는 1ㆍ2학년 학생을 돕고 있다. 지난해부터 문해력 검사를 통해 도움이 필요한 학생을 찾고 매일 30분씩 그림책 읽기 등의 맞춤형 지도를 한다.             목포대가 지난해 10월 섬마을 작은 학교인 신안 안좌고에서 개최한 찾아가는 실험실에서 학생들이 실험장비를 활용해 과학실습을 하고 있다. 사진 목포대               목포대는 지난해 초중고 20곳과 협력해 교육여건이 열악한 섬마을 학생의 과학교육을 돕고 있다. 지난해 10월 신안군 안좌도의 안좌고에선 ‘찾아가는 실험실’ 행사를 진행했다. 학교 방문, 대학 초청 등을 통해 ‘스마트폰을 이용한 물리실험’, ‘ 태양전지 만들기’ 등의 실험 수업을 제공했다. 대구교대는 예비교사들의 인문학 소양 함양을 위해 16개의 독서토론 동아리를 운영했다.        이처럼 교육부의 국립대학 육성사업은 과거 국립·사립 구분 없는 평가 위주의 대학 지원, 구조조정 중심의 국립대 정책으로 인해 침체했던 국립대의 부활에 ‘마중물’이 되고 있다. 교육부의 국립대학 육성사업 규모는 2018년 800억원에서 지난해 1504억원으로 늘었고, 올해도 같은 수준으로 유지된다.          예산이 늘면서 단발성 사업에 치중했던 과거와 달리 장기적인 안목에서 대학 혁신, 지역 상생 프로그램을 추진할 여유를 얻었다고 국립대 관계자들은 밝혔다. 이영석 국립대학육성사업발전협의회장충남대 기획처장은 “전국의 국립대가 지자체와의 협업을 통해 지역 현안을 해결하고, 나아가 국가균형발전을 선도하기 위해선 국립대학 육성사업의 유지·확대가 무엇보다 절실하다”고 말했다.        고석현·천인성 기자 ...      그래서, 팩트가 뭐야 궁금하면 팩플   내 돈 관리는 그게머니    중앙일보 가기 ⓒ중앙일보:..,"
국립대학 육성,2020.05.29.,"금오공대 ""문화특강 온라인으로 들으세요""","금오공과대학교 사진뉴시스    구미뉴시스 박홍식 기자  금오공과대학교가 경북 구미시민을 위한 문화특강을 온라인으로 연다. 29일 금오공대에 따르면 다음 달 114일 대학 강의사이트에서 공개되는 강의 주제는 이순형 서울대 명예교수의 엄마, 아빠의 양육 이야기다.  영·유아기 자녀 교육에 관심 있는 시민은 누구나 접속해서 들을 수 있다. 아이의 발달에 좋은 환경, 생애 초기 교육, 행복한 아이의 삶을 위한 교육 등 다양한 주제로 나눠 강의를 진행한다. 서울대 가정관리학과를 졸업하고 동 대학원에서 아동학 석·박사 학위를 받은 이순형 교수는 서울대 등에서 35년간 교육자의 길을 걸으며 서울대 어린이집 초대 원장, 어린이보육지원센터 초대 센터장을 지냈다.  현재 서울대 명예교수로 서울시 보육정책위원회 위원장을 맡고 있다.  강의를 들으려면 금오공대 홈페이지공지사항특강안내의 지역민과 함께하는 열린 문화특강1차을 통하거나, 금오공개강의사이트  :   ... 에 바로 접속하면 된다.    계정을 통해 무료로 수강할 수 있다. 금오공대의 2020 국립대학 육성사업지원으로 열리는 이번 특강은 지역사회 문화공헌 활동의 일환으로 코로나19 확산 방지를 위해 온라인으로 시행된다. ☞공감언론 뉴시스    6431 .  네이버에서 뉴시스 구독하기  , 유명 미술작품 가격 공개  뉴시스 빅데이터  주가시세표 바로가기 ⓒ 공감언론 뉴시스통신사. 무단전재재배포 금지"
국립대학 육성,2020.07.09.,금오공대 '행복한 식생활 이야기' 온라인 특강,"김정현 배재대 교수의 문화 특강 김정현 교수의 온라인 특강 사진금오공대 제공 구미뉴시스 박홍식 기자  금오공과대학교는 경북 구미시민을 위해 두 번째 온라인 문화특강을 준비했다고 9일 밝혔다. 김정현 배재대 교수의 ‘건강·행복의 지킴이는 나의 먹거리라는 주제로 오는 1031일 금오공대 강의지원시스템  에서 공개된다.  대학 구성원 뿐만 아니라 건강관리에 관심 있는 주민은 누구나 들을 수 있다. 강의는 뉴노멀 시대 우리의 식생활,    미래사회의 생애주기별 건강 식생활, 건강을 지키는 골든타임, 시니어벤저스의 건강 레시피 등 다양한 주제로 나눠 진행된다.   김 교수는 가족 구조가 다양화되는 뉴노멀 시대를 맞아 생애주기별 발달 상황과 필요 영양소를 고려한 올바른 식습관을 소개한다. 연세대에서 식품영양학을 전공하고 동대학원 석·박사 학위를 받은 김 교수는 현재 배재대 가정교육과 교수로 재직 중이다.  보건복지부 학교인구교육사업단장을 비롯해 여성가족부 건강가정다문화가족지원센터장, 식생활교육대전네트워크상임대표 등을 맡고 있다. 연구 및 저서, 방송 등을 통해 올바른 먹거리와 식생활을 위한 활동을 활발히 하고 있다. 강의는 금오공대 홈페이지공지사항특강안내의 ‘지역민과 함께하는 열린 문화특강2차’을 통하거나, 금오공개 공개강의사이트  :   ... 로 바로 접속해 들을 수 있다.    계정을 통해 무료로 수강할 수 있다. 금오공대의 ‘2020 국립대학 육성사업’지원으로 열리는 이번 특강은 지역사회 문화공헌 활동 일환으로 시행되고 있다.  지난달 1차 특강에는 이순형 서울대 교수의 양육 이야기가 소개됐으며, 코로나19 확산 방지를 위해 온라인으로 시행하고 있다. ☞공감언론 뉴시스    6431 .  네이버에서 뉴시스 구독하기  , 유명 미술작품 가격 공개  뉴시스 빅데이터  주가시세표 바로가기 ⓒ 공감언론 뉴시스통신사. 무단전재재배포 금지"
국립대학 육성,2020.08.05.,"금오공대, 지역민과 함께 하는 '제3차 열린 문화특강' 전개","머니투데이 권현수 기자   금오공과대학교가 5일 교내 디지털관에서 지역사회 문화공헌 활동의 일환으로 전창록 경상북도경제진흥원장을 초청해 오프라인 문화특강을 진행했다. 이번 특강은 초연결 시대 기업 마케팅 전략이라는 주제로 전개됐다. 특히 코로나19 확산 방지와 수강자의 안전을 위해 사전 접수를 받아 사회적 거리두기를 준수한 가운데 안전하게 이뤄졌다. 특강 내용은 지역민을 위해 향후 온라인으로 강의를 송출할 예정이다.  특강은 1부 다움, 2부 연결하라, 3부 그리고 한 명으로 나눠 소비자를 대하는 기업의 자세와 마케팅 전략에 대해 다뤘다. 온라인 강의 송출 예정일은 오는 1431일이다. 강의는 오는 14일 게시되는 금오공대 홈페이지공지사항특강안내의 지역민과 함께하는 열린 문화특강3차 혹은 금오공대 공개강의사이트:...에 접속하면 볼 수 있다.  계정을 통해 무료 수강 가능하며, 관련 문의는 전화0544787998로 하면 된다.    전창록 원장은 우리는 인간과 인간, 사물과 인간, 사물과 사물 등으로 연결의 폭과 깊이가 확대되는 초연결성의 시대에 살고 있다며 포스트 코로나 시대에 더욱 중요해진 소통의 의미를 되새기며 가치 있는 다움으로 고객 한 명을 감동시킬 수 있어야 많은 소비자의 마음을 움직일 수 있을 것이라고 말했다. 한편 전 원장은 고려대 행정학과를 졸업하고 동대학원에서 산업정책 연구로 석사 학위를 받았다. 그는 삼성전자 무선사업부에서 마케팅·리테일 총괄 담당을 맡았으며, 스타트업 멘토링 등 다양한 활동을 펼쳤다. 주요 저서로는 4차 산업혁명 시대, 어떻게 일할 것인가2018,다움, 연결, 그리고 한 명2020 등이 있다.     이번 특강은 국립대학 육성사업 지원으로 마련한 올해 문화특강의 세 번째 시간이다. 앞서 지난 6월 열린 1차 특강에는 이순형 서울대 교수의 양육 이야기가 소개됐으며, 지난 7월에는 김정현 배재대 교수의 식생활 관련 특강이 온라인으로 진행됐다.  권현수 기자  줄리아 투자노트 조 변호사의 가정상담소   머니투데이 구독하기   저작권자 ⓒ 돈이 보이는 리얼타임 뉴스 머니투데이,"
국립대학 육성,2020.08.09.,"금오공대, 전창록 경북도 경제진흥원장 초청 특강","특강하는 전창록 경북도 경제진흥원장 사진금오공대 제공 구미뉴시스 박홍식 기자  금오공과대학교는 디지털관에서 전창록 경상북도 경제진흥원장 초청 오프라인 문화특강을 열었다고 9일 밝혔다. 전 원장은 초연결 시대 기업 마케팅 전략’을 주제로 특강을 했다. 코로나19 확산 방지와 수강자들의 안전을 위해 사전 접수를 받아 진행했다. 지역 시민을 위해 추후 온라인으로 강의를 송출할 예정이다. 강의는 1부 ‘다움’, 2부 ‘연결하라’, 3부 ‘그리고 한 명’ 등으로 나눠 현시대 소비자들을 대하는 기업의 자세와 마케팅 전략을 소개했다. 전창록 원장은 현재 우리는 인간과 인간, 사물과 인간, 사물과 사물 등으로 연결의 폭과 깊이가 확대되는 초연결성의 시대에 살고 있다며 애프터 코로나 시대 더욱 중요해진 소통의 의미를 되새기며 가치 있는 ‘다움’으로 고객 ‘한 명’을 감동시킬 수 있어야 ‘연결’을 통해 다수 소비자의 마음을 움직일 수 있을 것이라고 말했다. 온라인 강의 송출 예정일은 14일31일이다. 강의는 14일 게시되는 금오공대 홈페이지공지사항특강안내의 ‘지역민과 함께하는 열린 문화특강3차’을 통하거나, 금오공대 공개강의사이트:...에 바로 접속하면 볼 수 있다.   계정을 통해 무료 수강 가능하다. 전창록 원장은 고려대 행정학과를 졸업하고 동대학원에서 산업정책 연구로 석사 학위를 받았다.  삼성전자 무선사업부에서 마케팅 및 리테일 총괄 담당을 맡은 바 있으며 스타트업 멘토링 등 다양한 활동을 했다.  저서로는 ‘4차 산업혁명 시대, 어떻게 일할 것인가2018’,‘다움, 연결, 그리고 한 명2020’ 등이 있다.   이번 특강은 국립대학 육성사업 지원으로 마련한 올해 문화특강의 세 번째 시간이다.  앞서 6월 열린 1차 특강에는 이순형 서울대 교수의 양육 이야기가 소개됐으며, 7월에는 김정현 배재대 교수의 식생활 관련 특강이 온라인으로 진행된 바 있다. ☞공감언론 뉴시스  6431.  네이버에서 뉴시스 구독하기  , 유명 미술작품 가격 공개  뉴시스 빅데이터  주가시세표 바로가기 ⓒ 공감언론 뉴시스통신사. 무단전재재배포 금지"
대학혁신지원,2020.04.23.,"금오공대, 신입생 위한 온라인 특강·세미나 시행","세미나 강의 사진금오공대 제공 구미뉴시스 박홍식 기자  금오공과대학교는 2020학년도 신입생을 대상으로 다양한 비교과 프로그램을 진행하고 있다고 23일 밝혔다. 대학혁신지원사업 등에서 지원하는 비교과 프로그램은 실시간 및   를 활용한 온라인 강의로 꾸몄다. 지난 20일부터 시작해 27일까지 진행 예정인 ‘      세미나’는 창의적인 사고와 도전정신을 함양시키는 비대면 실습 교육이다.  지식에 의존하지 않고 상상력을 통해 문제를 해결하는 강의로 상담심리교육 전문기관을 통해 시행하고 있다.  교육에 참여하는 신입생들이 각자의 창의적 활동 과정을 사진 또는 영상으로 보여 주며 서로의 아이디어를 공유하고 토론할 수 있도록 소규모 분반 형태로 실시간 진행된다.  공학인으로서 기술의 발전에 대해 이해할 수 있는 특강도 열렸다.  지난 14일부터 19일까지 진행된 4차 산업혁명 연계 특강은 ‘공학도의 미래’라는 주제로 미래사회 기술이 가져올 변화와 공대생이 길러야 할 역량에 대해 다뤘다.  김나연 학생이 강의를 듣고 있다 사진금오공대 제공 오는 28일에는 ‘공대생의 의사소통읽기, 쓰기, 말하기’을 주제로 한 특강이 준비돼 있다.  이외에도 신입생들이 적성 및 역량을 스스로 파악할 수 있는 ‘   온라인 자가 진단’을 실시해 진로 탐색의 기회를 제공했으며, 성폭력 및 가정폭력 예방 온라인 교육도 시행할 계획이다.  특강에 참여한 학생들은 당장 눈앞에 보이는 취업이나 스펙에 매달리지 말고 세상의 변화를 잘 바라보며 미래를 준비하는 인재가 돼야겠다는 생각이 들었다고 말했다. 이어 캠퍼스에서 새로 만나게 될 친구들과 함께 듣지 못한 아쉬움은 있지만 진지하게 미래에 대해 생각해 볼 수 있는 강의를 접하게 돼 유익했다고 했다.  금오공대는 24학년으로 구성된 62명의 재학생들을 신입생 멘토로 선발해 신입생 조기 적응에 도움을 주고 있다.  멘토들은 상담자로서의 원활한 역할 수행을 위해 소통과 리더십 관련 사전 교육을 이수했으며, 앞으로도 신입생 상담 관련 역량 강화 교육을 지속적으로 받게 된다. ☞공감언론 뉴시스    6431 .  네이버에서 뉴시스 구독하기  , 유명 미술작품 가격 공개  뉴시스 빅데이터  주가시세표 바로가기  ⓒ 공감언론 뉴시스통신사. 무단전재재배포 금지"
대학혁신지원,2020.04.24.,"금오공대, 신입생 위한 온라인 특강·세미나 전개","머니투데이 대학경제 임홍조 기자   금오공과대학교는 올해 신입생을 대상으로 다양한 비교과 프로그램을 실시하고 있다고 24일 밝혔다.  대학혁신지원사업 등에서 지원하는 비교과 프로그램은 실시간 혹은   를 활용한 온라인 강의로 진행된다.   특히 오는 27일까지 진행 예정인       세미나는 창의적인 사고와 도전정신을 함양하는 비대면 실습 교육이다. 지식에 의존하지 않고 상상력을 통해 문제를 해결하는 강의로, 상담심리교육 전문기관을 통해 진행 중이다. 이 교육에 참여하는 신입생들은 각자의 창의적 활동 과정을 사진이나 영상으로 보여준다. 수업은 서로의 아이디어를 공유, 토론할 수 있도록 소규모 분반 형태로 실시간 이뤄진다. 또한 공학인으로서 기술의 발전에 대해 이해할 수 있는 특강도 열렸다. 지난 1419일 진행된 4차 산업혁명 연계 특강은 공학도의 미래라는 주제로 미래사회 기술이 가져올 변화와 공대생이 길러야 할 역량에 대해 다뤘다. 오는 28일에는 공대생의 의사소통읽기, 쓰기, 말하기이라는 주제의 특강도 준비됐다.  이외에도 신입생들이 적성, 역량을 스스로 파악할 수 있도록    온라인 자가 진단을 실시해 진로 탐색의 기회를 제공했으며, 성폭력과 가정폭력 예방 온라인 교육도 전개할 계획이다.  김근태 전자공학부 학생은 이번 교육을 통해 취업이나 스펙보다는 세상의 흐름을 읽고 미래를 준비하는 자세의 필요성을 배웠다며 캠퍼스에서 새로 만날 친구와 함께 듣지 못해 아쉽지만, 진지하게 미래를 생각할 있는 시간이라 유익했다고 말했다.    한편 금오공대는 24학년들로 구성된 62명의 재학생들을 신입생 멘토로 선발해 신입생의 대학생활 적응을 돕고 있다. 멘토들은 상담자로서 원활한 역할 수행을 위해 소통과 리더십 관련 사전 교육을 이수했으며, 앞으로도 신입생 상담 관련 역량 강화 교육을 지속적으로 받는다.  임홍조 기자  줄리아 투자노트 조 변호사의 가정상담소   머니투데이 구독하기   저작권자 ⓒ 돈이 보이는 리얼타임 뉴스 머니투데이,"
대학혁신지원,2020.05.08.,"금오공대, 교수 통섭연구모임 2020년 알쓸신잡 운영","금오공과대학교가 비대면 시대 교육 환경에 대응하기 위해 교수 통섭 연구 모임인 2020년도 알쓸신잡을 운영한다고 8일 밝혔다. 알쓸신잡은 창의적 아이디어 공유를 통해 교육 혁신을 추구하는 교수들의 통섭 연구 모임으로 회차별로 게스트를 초청해 주제 관련 의견을 나눈다. 올해 1학기 알쓸신잡은 딥 체인지     를 통한 금오공대 교육 혁신 프로세스 모델 구축이 주제다. 오는 6월 말까지 두 달간 총 8회차로 시행될 예정이다. 금오공대 교수 통섭 연구모임 알쓸신잡 모습. 지난 7일 금오공대 본관 소회의실에서 열린 2020년 첫 모임에는 이상철 총장이 게스트로 초청돼 권현규 교무처장, 정인희 기획협력처장, 김태형  · 빅데이터센터장, 김성영 교수학습개발센터장, 이성아 연구교수와 함께 아이디어를 공유했다. 이날 모임은 언택트 시대의 대학 교육 방향이라는 세부주제로 이뤄졌다. 참여 교수들은 다양한 콘텐츠와 이를 잘 구현할 수 있는 시스템의 중요성에 대해 강조했다. 불투명한 미래 교육 환경에 대비해 교육의 질을 확보할 수 있는 다양한 언택트 교육 모델을 선제적으로 구축하자는 데 공감했다. 알쓸신잡은 이후에도 디지털 트랜스포메이션, 테크노 스트레스, 비대면 수업에서 학습자 동기와 한계점 극복방안 등 다양한 세부주제를 통해 대학 교육 혁신 프로세스 구축 전략을 모색할 예정이다. 알쓸신잡을 주관하고 있는 정인희 기획협력처장은 “교수들의 자유로운 아이디어 공유를 바탕으로 딥 체인지를 통한 금오공대 교육 혁신 프로세스를 구축하고자 통섭 연구 모임을 진행하고 있다”며 “대학혁신지원사업과 연계, 4차 산업혁명의 밑바탕이 되는 새로운 교육 환경을 조성하고 대한민국 대표 공과대학 모델 정립에 기여할 수 있도록 하겠다”고 말했다. 구미정재훈기자    .  네이버 홈에서 전자신문 구독하기  전자신문 바로가기      ⓒ 전자신문  전자신문인터넷,"
